id,name,asset,status,operator,vintage,spudDate,completionDate,firstProductionDate,fieldName,basin,county,state,country,api,wellType,lateralLength,totalDepth,drillingDays,rigCrew,wellCost,completionType,completionDate,proppantLoaded,fluidPumped,stages,clusterSpacing,currentProduction,ip30,ip90,ip180,cumulativeOil,cumulativeGas,cumulativeWater,waterCut,gor,npv,irr,breakEven,eur,reservoirPressure,bottomholeTemperature,permeability,porosity,oilSaturation,payThickness,notes
W-068,Korokoro-Zeta-068,Oloma,Active,Okhiku Energy,2023,2023-12-20,2024-02-03,2024-02-10,Korokoro Field,Niger Delta,Rivers,Rivers State,Nigeria,API-068,Horizontal,4170,11410,19,Crew-I,7.1,Gel,2024-02-03,2620000,156000,23,51,338,538,415,350,95000,295000,68000,41.6,2.85,9.3,26.8,34.5,432,3790,239,99,20.9,74,110,Recent well
W-069,Korokoro-Eta-069,Oloma,Active,Okhiku Energy,2024,2024-11-20,2024-12-28,2025-01-04,Korokoro Field,Niger Delta,Rivers,Rivers State,Nigeria,API-069,Horizontal,4095,11335,17,Crew-H,6.8,Slickwater,2024-12-28,2545000,151000,22,53,320,515,397,335,18000,56000,18000,50.0,2.89,8.6,25.5,33.5,408,3735,242,102,21.2,76,108,Brand new well
W-070,Korokoro-Eta-070,Korokoro,Active,Okhiku Energy,2021,2021-04-20,2021-06-04,2021-06-11,Korokoro Deep,Niger Delta,Rivers,Rivers State,Nigeria,API-070,Horizontal,3800,10900,13,Crew-J,5.8,Slickwater,2021-06-04,2200000,130000,18,60,262,425,328,276,198000,614000,142000,41.8,3.10,6.2,20.5,28.5,325,3450,258,115,22.8,85,95,Marginal economics
W-071,Korokoro-Eta-071,Korokoro,Active,Okhiku Energy,2021,2021-07-25,2021-09-08,2021-09-15,Korokoro Deep,Niger Delta,Rivers,Rivers State,Nigeria,API-071,Horizontal,3950,11050,15,Crew-K,6.2,Hybrid,2021-09-08,2350000,138000,19,58,278,448,345,290,212000,657000,148000,41.1,3.02,6.8,22.2,30.2,348,3520,255,112,22.5,83,98,Challenging field
W-072,Korokoro-Eta-072,Korokoro,Active,Okhiku Energy,2021,2021-10-30,2021-12-14,2021-12-21,Korokoro Deep,Niger Delta,Rivers,Rivers State,Nigeria,API-072,Horizontal,3870,10980,14,Crew-J,6.0,Slickwater,2021-12-14,2280000,134000,19,59,268,435,336,283,205000,636000,145000,41.4,3.08,6.5,21.5,29.5,338,3480,257,114,22.7,84,96,Low IRR
W-073,Korokoro-Alpha-073,Korokoro,Active,Okhiku Energy,2022,2022-02-15,2022-03-31,2022-04-07,Korokoro Deep,Niger Delta,Rivers,Rivers State,Nigeria,API-073,Horizontal,4000,11100,16,Crew-K,6.4,Gel,2022-03-31,2400000,142000,20,57,288,462,358,302,195000,605000,138000,41.4,2.98,7.2,23.5,31.5,362,3560,253,110,22.3,82,100,Gel completion test
W-074,Korokoro-Alpha-074,Korokoro,Active,Okhiku Energy,2022,2022-06-10,2022-07-25,2022-08-01,Korokoro Deep,Niger Delta,Rivers,Rivers State,Nigeria,API-074,Horizontal,3920,11020,15,Crew-J,6.1,Slickwater,2022-07-25,2320000,136000,19,58,275,442,341,287,188000,583000,135000,41.8,3.05,6.6,21.8,30.0,342,3500,256,113,22.6,83,97,Standard performance
W-075,Korokoro-Alpha-075,Korokoro,Shut-in,Okhiku Energy,2022,2022-09-20,2022-11-04,2022-11-11,Korokoro Deep,Niger Delta,Rivers,Rivers State,Nigeria,API-075,Horizontal,3980,11080,15,Crew-K,6.3,Hybrid,2022-11-04,2380000,140000,20,57,0,455,351,296,158000,490000,118000,42.7,3.00,4.2,16.8,24.5,285,3540,254,111,22.4,82,99,Economic limit reached
W-076,Korokoro-Beta-076,Korokoro,Active,Okhiku Energy,2023,2023-01-15,2023-02-28,2023-03-07,Korokoro Deep,Niger Delta,Rivers,Rivers State,Nigeria,API-076,Horizontal,3890,11000,14,Crew-J,6.0,Slickwater,2023-02-28,2300000,135000,19,59,265,438,338,285,142000,441000,105000,42.5,3.06,6.4,21.2,29.2,335,3490,257,113,22.7,84,96,Recent vintage
W-077,Korokoro-Beta-077,Korokoro,Active,Okhiku Energy,2023,2023-04-25,2023-06-09,2023-06-16,Korokoro Deep,Niger Delta,Rivers,Rivers State,Nigeria,API-077,Horizontal,4020,11120,16,Crew-K,6.5,Gel,2023-06-09,2420000,143000,20,57,292,468,362,305,128000,397000,98000,43.3,2.97,7.4,24.0,32.0,368,3570,252,109,22.2,81,101,Improved design
W-078,Korokoro-Beta-078,Korokoro,Active,Okhiku Energy,2023,2023-07-30,2023-09-13,2023-09-20,Korokoro Deep,Niger Delta,Rivers,Rivers State,Nigeria,API-078,Horizontal,3940,11040,15,Crew-J,6.2,Slickwater,2023-09-13,2340000,137000,19,58,272,445,343,289,115000,357000,92000,44.4,3.04,6.7,22.0,30.2,348,3510,255,112,22.5,83,98,Typical well
W-079,Korokoro-Gamma-079,Korokoro,Active,Okhiku Energy,2023,2023-11-10,2023-12-25,2024-01-01,Korokoro Deep,Niger Delta,Rivers,Rivers State,Nigeria,API-079,Horizontal,3990,11090,16,Crew-K,6.4,Hybrid,2023-12-25,2390000,141000,20,57,285,460,355,300,88000,273000,78000,46.9,2.99,7.0,23.2,31.2,358,3550,253,110,22.3,82,100,Recent start
W-080,Korokoro-Gamma-080,Korokoro,Active,Okhiku Energy,2024,2024-02-20,2024-04-05,2024-04-12,Korokoro Deep,Niger Delta,Rivers,Rivers State,Nigeria,API-080,Horizontal,3910,11010,14,Crew-J,6.1,Slickwater,2024-04-05,2310000,136000,19,58,270,440,339,286,68000,211000,65000,48.9,3.05,6.5,21.5,29.5,342,3495,256,113,22.6,83,97,New well
W-081,Korokoro-Gamma-081,Korokoro,Active,Okhiku Energy,2024,2024-05-30,2024-07-14,2024-07-21,Korokoro Deep,Niger Delta,Rivers,Rivers State,Nigeria,API-081,Horizontal,4030,11130,17,Crew-K,6.6,Gel,2024-07-14,2430000,144000,21,56,295,472,365,308,52000,161000,55000,51.4,2.96,7.5,24.5,32.5,372,3580,252,109,22.2,81,101,Latest vintage
W-082,Korokoro-Delta-082,Korokoro,Active,Okhiku Energy,2024,2024-08-25,2024-10-09,2024-10-16,Korokoro Deep,Niger Delta,Rivers,Rivers State,Nigeria,API-082,Horizontal,3950,11050,15,Crew-J,6.2,Slickwater,2024-10-09,2350000,138000,19,58,278,450,347,292,35000,109000,42000,54.5,3.02,6.8,22.5,30.5,352,3520,255,112,22.5,83,98,Very new
W-083,Korokoro-Delta-083,Korokoro,Active,Okhiku Energy,2024,2024-11-15,2024-12-30,2025-01-06,Korokoro Deep,Niger Delta,Rivers,Rivers State,Nigeria,API-083,Horizontal,3880,10990,14,Crew-K,6.0,Hybrid,2024-12-30,2290000,135000,19,59,268,438,338,285,22000,68000,28000,56.0,3.06,6.6,21.8,29.8,340,3485,257,114,22.7,84,96,Brand new
W-084,Korokoro-Epsilon-084,Korokoro,Active,Okhiku Energy,2022,2022-12-10,2023-01-24,2023-01-31,Korokoro Deep,Niger Delta,Rivers,Rivers State,Nigeria,API-084,Horizontal,3970,11070,15,Crew-J,6.3,Slickwater,2023-01-24,2370000,139000,19,58,275,452,349,294,172000,534000,128000,42.6,3.01,6.8,22.2,30.2,352,3530,254,111,22.4,82,99,Mature well
W-085,Korokoro-Epsilon-085,Korokoro,Shut-in,Okhiku Energy,2021,2021-08-05,2021-09-19,2021-09-26,Korokoro Deep,Niger Delta,Rivers,Rivers State,Nigeria,API-085,Horizontal,3830,10940,13,Crew-K,5.9,Hybrid,2021-09-19,2260000,133000,18,59,0,432,334,281,185000,574000,138000,42.7,3.08,4.8,18.2,26.5,295,3465,258,115,22.8,85,95,Poor economics
W-086,Korokoro-Zeta-086,Korokoro,Active,Okhiku Energy,2023,2023-05-10,2023-06-24,2023-07-01,Korokoro Deep,Niger Delta,Rivers,Rivers State,Nigeria,API-086,Horizontal,4010,11110,16,Crew-J,6.4,Gel,2023-06-24,2410000,142000,20,57,288,465,359,303,118000,366000,92000,43.8,2.98,7.2,23.8,31.8,365,3560,253,110,22.3,82,100,Mid-tier well
W-087,Korokoro-Zeta-087,Korokoro,Active,Okhiku Energy,2024,2024-12-20,2025-01-28,2025-02-04,Korokoro Deep,Niger Delta,Rivers,Rivers State,Nigeria,API-087,Horizontal,3935,11035,15,Crew-K,6.2,Slickwater,2025-01-28,2335000,137000,19,58,275,448,345,291,12000,37000,18000,60.0,3.03,6.7,22.2,30.2,348,3515,255,112,22.5,83,98,Just started
W-088,Imor-Zeta-088,Imor 1,Active,Okhiku Energy,2023,2023-03-15,2023-04-29,2023-05-06,Imor Field,Niger Delta,Rivers,Rivers State,Nigeria,API-088,Horizontal,5080,12850,23,Crew-A,8.9,Hybrid,2023-04-29,3510000,199000,31,41,485,728,563,476,278000,862000,72000,20.6,2.51,14.6,36.5,42.8,602,4190,212,85,18.5,64,128,Mid-vintage well
W-089,Imor-Zeta-089,Imor 1,Active,Okhiku Energy,2022,2022-05-10,2022-06-24,2022-07-01,Imor Field,Niger Delta,Rivers,Rivers State,Nigeria,API-089,Horizontal,4920,12650,21,Crew-B,8.6,Slickwater,2022-06-24,3360000,193000,29,43,472,712,551,466,342000,1061000,82000,19.3,2.52,13.9,35.8,42.2,588,4155,214,86,18.6,65,126,Solid well
W-090,Ebubu-Eta-090,Imor 2,Active,Okhiku Energy,2022,2022-03-20,2022-05-04,2022-05-11,Ebubu Field,Niger Delta,Rivers,Rivers State,Nigeria,API-090,Horizontal,4490,12090,20,Crew-D,7.6,Hybrid,2022-05-04,2990000,174000,26,48,410,615,474,399,282000,875000,95000,25.2,2.72,11.7,30.8,37.8,505,4025,225,92,19.5,70,118,Mid-cycle well
W-091,Ebubu-Eta-091,Imor 2,Active,Okhiku Energy,2023,2023-06-15,2023-07-30,2023-08-06,Ebubu Field,Niger Delta,Rivers,Rivers State,Nigeria,API-091,Horizontal,4370,11970,19,Crew-E,7.5,Slickwater,2023-07-30,2910000,170000,25,49,395,598,461,388,178000,552000,68000,27.6,2.74,11.3,29.8,37.0,490,3990,226,93,19.6,71,117,Recent well
W-092,Oloma-Eta-092,Ebubu,Active,Okhiku Energy,2023,2023-04-10,2023-05-25,2023-06-01,Oloma Field,Niger Delta,Rivers,Rivers State,Nigeria,API-092,Horizontal,5340,13440,28,Crew-F,10.1,Gel,2023-05-25,3970000,219000,36,38,610,877,678,575,328000,1018000,55000,14.4,2.35,18.3,46.0,48.3,722,4468,198,75,17.5,58,141,Premium well
W-093,Oloma-Eta-093,Ebubu,Active,Okhiku Energy,2022,2022-04-15,2022-05-30,2022-06-06,Oloma Field,Niger Delta,Rivers,Rivers State,Nigeria,API-093,Horizontal,5290,13370,26,Crew-G,9.9,Hybrid,2022-05-30,3890000,213000,34,40,590,865,669,567,422000,1309000,62000,12.8,2.37,17.7,44.8,47.7,705,4440,199,76,17.7,59,140,Strong performer
W-094,Korokoro-Eta-094,Oloma,Active,Okhiku Energy,2022,2022-04-05,2022-05-20,2022-05-27,Korokoro Field,Niger Delta,Rivers,Rivers State,Nigeria,API-094,Horizontal,4160,11400,18,Crew-H,7.0,Gel,2022-05-20,2590000,155000,23,52,328,532,410,346,258000,801000,125000,32.6,2.86,9.1,26.5,34.2,425,3775,240,100,21.0,75,110,Decent performer
W-095,Korokoro-Eta-095,Oloma,Active,Okhiku Energy,2023,2023-09-20,2023-11-04,2023-11-11,Korokoro Field,Niger Delta,Rivers,Rivers State,Nigeria,API-095,Horizontal,4100,11350,17,Crew-I,6.8,Slickwater,2023-11-04,2550000,152000,22,53,322,520,402,339,148000,459000,88000,37.3,2.88,8.8,25.8,33.8,412,3750,242,102,21.2,76,108,Recent start
W-096,Korokoro-Theta-096,Korokoro,Active,Okhiku Energy,2023,2023-08-10,2023-09-24,2023-10-01,Korokoro Deep,Niger Delta,Rivers,Rivers State,Nigeria,API-096,Horizontal,3960,11060,15,Crew-J,6.3,Hybrid,2023-09-24,2360000,139000,19,58,280,455,351,296,125000,388000,92000,42.4,3.00,7.0,22.8,30.8,355,3535,254,111,22.4,82,99,Typical performance
W-097,Korokoro-Theta-097,Korokoro,Active,Okhiku Energy,2024,2024-04-15,2024-05-30,2024-06-06,Korokoro Deep,Niger Delta,Rivers,Rivers State,Nigeria,API-097,Horizontal,4005,11105,16,Crew-K,6.4,Gel,2024-05-30,2405000,142000,20,57,288,463,358,302,78000,242000,68000,46.6,2.98,7.3,23.5,31.5,362,3555,253,110,22.3,82,100,New well
W-098,Imor-Eta-098,Imor 1,Active,Okhiku Energy,2024,2024-06-10,2024-07-24,2024-07-31,Imor Field,Niger Delta,Rivers,Rivers State,Nigeria,API-098,Horizontal,5140,12920,24,Crew-C,9.1,Gel,2024-07-24,3650000,203000,32,40,508,738,572,484,102000,316000,32000,23.9,2.46,16.0,38.8,44.2,622,4235,210,83,18.3,63,130,Latest Imor well
W-099,Ebubu-Theta-099,Imor 2,Active,Okhiku Energy,2024,2024-08-20,2024-10-04,2024-10-11,Ebubu Field,Niger Delta,Rivers,Rivers State,Nigeria,API-099,Horizontal,4560,12200,21,Crew-D,7.9,Hybrid,2024-10-04,3090000,180000,27,47,420,630,486,409,58000,180000,28000,32.6,2.69,12.4,32.2,39.2,525,4060,223,90,19.3,68,120,Very new well
W-100,Oloma-Theta-100,Ebubu,Active,Okhiku Energy,2024,2024-10-05,2024-11-19,2024-11-26,Oloma Field,Niger Delta,Rivers,Rivers State,Nigeria,API-100,Horizontal,5395,13515,29,Crew-G,10.3,Gel,2024-11-19,4010000,221000,37,37,622,888,686,581,48000,149000,15000,23.8,2.34,18.6,46.8,48.7,732,4485,198,75,17.5,58,142,Latest Oloma well
